_id,eventId,type,soloUser,members,status,registeredAt,__v,teamName,leader
"""69bb8fc2c2aad3256793c8d0""","""69bb867970afaddb955f740d""","team",,"[""69bb8ee6c2aad3256793c8ab""]","pending","""2026-03-19T05:55:14.090Z""","0","Mechanical 1","""69bb8ee6c2aad3256793c8ab"""
"""69bb9281c2aad3256793c95a""","""69bb867870afaddb955f7404""","solo","""69bb924bc2aad3256793c94c""","[]","pending","""2026-03-19T06:06:57.485Z""","0",,
"""69bb9282c2aad3256793c960""","""69bb867870afaddb955f7405""","solo","""69bb924bc2aad3256793c94c""","[]","pending","""2026-03-19T06:06:58.818Z""","0",,
"""69bb9283c2aad3256793c967""","""69bb867870afaddb955f7406""","solo","""69bb924bc2aad3256793c94c""","[]","pending","""2026-03-19T06:06:59.971Z""","0",,
"""69bb96f5c2aad3256793c9ba""","""69bb867870afaddb955f7402""","solo","""69bb96d2c2aad3256793c9b3""","[]","pending","""2026-03-19T06:25:57.538Z""","0",,
"""69bb96f6c2aad3256793c9c0""","""69bb867870afaddb955f7403""","solo","""69bb96d2c2aad3256793c9b3""","[]","pending","""2026-03-19T06:25:58.726Z""","0",,
"""69bb9980c2aad3256793ca1d""","""69bb867870afaddb955f7402""","solo","""69bb98bdc2aad3256793ca01""","[]","pending","""2026-03-19T06:36:48.719Z""","0",,
"""69bb9981c2aad3256793ca23""","""69bb867870afaddb955f7404""","solo","""69bb98bdc2aad3256793ca01""","[]","pending","""2026-03-19T06:36:49.983Z""","0",,
"""69bb9983c2aad3256793ca2a""","""69bb867870afaddb955f7405""","solo","""69bb98bdc2aad3256793ca01""","[]","pending","""2026-03-19T06:36:51.217Z""","0",,
"""69bb9984c2aad3256793ca32""","""69bb867870afaddb955f7406""","solo","""69bb98bdc2aad3256793ca01""","[]","pending","""2026-03-19T06:36:52.436Z""","0",,
"""69bb9987c2aad3256793ca3d""","""69bb867a70afaddb955f7415""","solo","""69bb98bdc2aad3256793ca01""","[]","pending","""2026-03-19T06:36:55.202Z""","0",,
"""69bb9a23c2aad3256793ca67""","""69bb867870afaddb955f7402""","solo","""69bb99f5c2aad3256793ca54""","[]","pending","""2026-03-19T06:39:31.772Z""","0",,
"""69bb9a24c2aad3256793ca6d""","""69bb867870afaddb955f7404""","solo","""69bb99f5c2aad3256793ca54""","[]","pending","""2026-03-19T06:39:32.946Z""","0",,
"""69bb9a26c2aad3256793ca74""","""69bb867870afaddb955f7405""","solo","""69bb99f5c2aad3256793ca54""","[]","pending","""2026-03-19T06:39:34.088Z""","0",,
"""69bb9a9fc2aad3256793ca82""","""69bb867870afaddb955f7402""","solo","""69bb9a17c2aad3256793ca5f""","[]","pending","""2026-03-19T06:41:35.271Z""","0",,
"""69bb9aa0c2aad3256793ca88""","""69bb867870afaddb955f7403""","solo","""69bb9a17c2aad3256793ca5f""","[]","pending","""2026-03-19T06:41:36.430Z""","0",,
"""69bb9aa1c2aad3256793ca8f""","""69bb867870afaddb955f7404""","solo","""69bb9a17c2aad3256793ca5f""","[]","pending","""2026-03-19T06:41:37.547Z""","0",,
"""69bb9aa2c2aad3256793ca97""","""69bb867870afaddb955f7405""","solo","""69bb9a17c2aad3256793ca5f""","[]","pending","""2026-03-19T06:41:38.667Z""","0",,
"""69bb9aa3c2aad3256793caa0""","""69bb867870afaddb955f7406""","solo","""69bb9a17c2aad3256793ca5f""","[]","pending","""2026-03-19T06:41:39.804Z""","0",,
"""69bba7311ada37230db3e6ad""","""69bb867b70afaddb955f7418""","team",,"[""69bba2aa25e19c9d1af70817"",""69bba60225e19c9d1af70859"",""69bba70925e19c9d1af70899"",""69bba59025e19c9d1af7083f""]","pending","""2026-03-19T07:35:13.931Z""","0","Treasure Titans","""69bba2aa25e19c9d1af70817"""
"""69bba93e1ada37230db3e702""","""69bb867870afaddb955f7402""","solo","""69bb98dac2aad3256793ca08""","[]","pending","""2026-03-19T07:43:58.957Z""","0",,
"""69bba9401ada37230db3e708""","""69bb867870afaddb955f7404""","solo","""69bb98dac2aad3256793ca08""","[]","pending","""2026-03-19T07:44:00.220Z""","0",,
"""69bba9411ada37230db3e70f""","""69bb867870afaddb955f7405""","solo","""69bb98dac2aad3256793ca08""","[]","pending","""2026-03-19T07:44:01.475Z""","0",,
"""69bbaa9b1ada37230db3e73c""","""69bb867b70afaddb955f7417""","team",,"[""69bb98dac2aad3256793ca08""]","pending","""2026-03-19T07:49:47.913Z""","0","Cosmic crew","""69bb98dac2aad3256793ca08"""
"""69bbb1f30bbd64742ea5e015""","""69bb867a70afaddb955f7415""","solo","""69bb8ddf9a6596895462988d""","[]","pending","""2026-03-19T08:21:07.461Z""","0",,
